nohup: ignoring input
[2023-05-23 18:25:28.826] [info] Retrieval method_name RtreeItemOnly, dataset_name amazon-home-kitchen-2d, topk 100
[2023-05-23 18:25:28.826] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-23 18:25:28.826] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-23 18:25:36.629] [info] n_data_item 409243, n_query_item 1000, n_user 2511610, vec_dim 2
[2023-05-23 18:25:36.629] [info] input parameter: stop_time 32400s
409243 entries created
3000 entries inserted, progress 0.733061%, batch time 0.450997s, passed time 0.450996s, predicted finish time 61.5019s
330000 entries inserted, progress 80.6367%, batch time 3.14311s, passed time 199.629s, predicted finish time 247.565s
333000 entries inserted, progress 81.3697%, batch time 3.22919s, passed time 202.858s, predicted finish time 249.303s
336000 entries inserted, progress 82.1028%, batch time 3.1652s, passed time 206.023s, predicted finish time 250.932s
339000 entries inserted, progress 82.8359%, batch time 3.3485s, passed time 209.372s, predicted finish time 252.754s
342000 entries inserted, progress 83.5689%, batch time 2.48957s, passed time 211.861s, predicted finish time 253.516s
345000 entries inserted, progress 84.302%, batch time 2.72942s, passed time 214.591s, predicted finish time 254.549s
348000 entries inserted, progress 85.0351%, batch time 3.00761s, passed time 217.598s, predicted finish time 255.892s
351000 entries inserted, progress 85.7681%, batch time 3.19736s, passed time 220.796s, predicted finish time 257.432s
354000 entries inserted, progress 86.5012%, batch time 3.01787s, passed time 223.813s, predicted finish time 258.74s
357000 entries inserted, progress 87.2342%, batch time 2.64047s, passed time 226.454s, predicted finish time 259.592s
360000 entries inserted, progress 87.9673%, batch time 2.59797s, passed time 229.052s, predicted finish time 260.382s
363000 entries inserted, progress 88.7004%, batch time 2.7641s, passed time 231.816s, predicted finish time 261.347s
366000 entries inserted, progress 89.4334%, batch time 2.62805s, passed time 234.444s, predicted finish time 262.143s
369000 entries inserted, progress 90.1665%, batch time 3.01704s, passed time 237.461s, predicted finish time 263.358s
372000 entries inserted, progress 90.8995%, batch time 2.87283s, passed time 240.334s, predicted finish time 264.394s
375000 entries inserted, progress 91.6326%, batch time 2.6049s, passed time 242.939s, predicted finish time 265.122s
378000 entries inserted, progress 92.3657%, batch time 2.43201s, passed time 245.371s, predicted finish time 265.651s
381000 entries inserted, progress 93.0987%, batch time 2.46398s, passed time 247.835s, predicted finish time 266.206s
384000 entries inserted, progress 93.8318%, batch time 2.8s, passed time 250.635s, predicted finish time 267.11s
387000 entries inserted, progress 94.5648%, batch time 2.59809s, passed time 253.233s, predicted finish time 267.787s
390000 entries inserted, progress 95.2979%, batch time 2.92353s, passed time 256.156s, predicted finish time 268.795s
393000 entries inserted, progress 96.031%, batch time 3.11175s, passed time 259.268s, predicted finish time 269.983s
396000 entries inserted, progress 96.764%, batch time 3.10113s, passed time 262.369s, predicted finish time 271.143s
399000 entries inserted, progress 97.4971%, batch time 2.47484s, passed time 264.844s, predicted finish time 271.643s
402000 entries inserted, progress 98.2301%, batch time 2.32266s, passed time 267.167s, predicted finish time 271.98s
405000 entries inserted, progress 98.9632%, batch time 2.5381s, passed time 269.705s, predicted finish time 272.53s
408000 entries inserted, progress 99.6963%, batch time 2.77495s, passed time 272.48s, predicted finish time 273.309s
409243 entries created
[2023-05-23 18:30:11.934] [info] finish preprocess and save the index
[2023-05-23 18:32:19.211] [info] finish queryID 252, single_query_retrieval_time 127.26s, ip_cost 417289656, n_proc_query 1.00
[2023-05-23 18:39:33.274] [info] finish queryID 860, single_query_retrieval_time 561.32s, ip_cost 2267484860, n_proc_query 1.00
[2023-05-23 18:42:04.731] [info] finish queryID 168, single_query_retrieval_time 712.78s, ip_cost 3664143111, n_proc_query 1.00
[2023-05-23 18:45:24.226] [info] finish queryID 714, single_query_retrieval_time 912.27s, ip_cost 5076968504, n_proc_query 1.00
[2023-05-23 18:50:38.463] [info] finish queryID 210, single_query_retrieval_time 1226.51s, ip_cost 4648828903, n_proc_query 1.00
[2023-05-23 18:53:24.075] [info] finish queryID 715, single_query_retrieval_time 479.85s, ip_cost 3114883997, n_proc_query 2.00
[2023-05-23 18:58:00.952] [info] finish queryID 0, single_query_retrieval_time 1669.00s, ip_cost 7936146549, n_proc_query 1.00
[2023-05-23 19:03:18.036] [info] finish queryID 294, single_query_retrieval_time 1986.08s, ip_cost 6082437793, n_proc_query 1.00
[2023-05-23 19:03:41.634] [info] finish queryID 940, single_query_retrieval_time 2009.68s, ip_cost 7796867422, n_proc_query 1.00
[2023-05-23 19:04:14.400] [info] finish queryID 211, single_query_retrieval_time 815.94s, ip_cost 3982999594, n_proc_query 2.00
[2023-05-23 19:05:38.304] [info] finish queryID 231, single_query_retrieval_time 2126.35s, ip_cost 11848266683, n_proc_query 1.00
[2023-05-23 19:16:42.066] [info] finish queryID 357, single_query_retrieval_time 2790.11s, ip_cost 14007881543, n_proc_query 1.00
[2023-05-23 19:18:06.851] [info] finish queryID 716, single_query_retrieval_time 1482.78s, ip_cost 5138966018, n_proc_query 3.00
[2023-05-23 19:25:05.858] [info] finish queryID 147, single_query_retrieval_time 3293.90s, ip_cost 12703265304, n_proc_query 1.00
[2023-05-23 19:37:42.662] [info] finish queryID 63, single_query_retrieval_time 4050.71s, ip_cost 15326018592, n_proc_query 1.00
[2023-05-23 19:39:57.412] [info] finish queryID 840, single_query_retrieval_time 4185.46s, ip_cost 26136975608, n_proc_query 1.00
[2023-05-23 19:41:45.466] [info] finish queryID 336, single_query_retrieval_time 4293.51s, ip_cost 19268953320, n_proc_query 1.00
[2023-05-23 19:44:16.946] [info] finish queryID 798, single_query_retrieval_time 4444.99s, ip_cost 17890338469, n_proc_query 1.00
[2023-05-23 19:44:21.980] [info] finish queryID 169, single_query_retrieval_time 3737.25s, ip_cost 17267623157, n_proc_query 2.00
[2023-05-23 19:46:39.706] [info] finish queryID 126, single_query_retrieval_time 4587.75s, ip_cost 17508954631, n_proc_query 1.00
[2023-05-23 19:52:25.164] [info] finish queryID 358, single_query_retrieval_time 2143.10s, ip_cost 13313373621, n_proc_query 2.00
[2023-05-23 19:55:47.983] [info] finish queryID 42, single_query_retrieval_time 5136.03s, ip_cost 29718635978, n_proc_query 1.00
[2023-05-23 19:58:24.534] [info] finish queryID 651, single_query_retrieval_time 5292.58s, ip_cost 34609012933, n_proc_query 1.00
[2023-05-23 20:19:50.087] [info] finish queryID 212, single_query_retrieval_time 4535.69s, ip_cost 16665427753, n_proc_query 3.00
