nohup: ignoring input
[2023-05-13 20:51:26.895] [info] Retrieval method_name RtreeItemOnly, dataset_name yelp-32d, topk 100
[2023-05-13 20:51:26.895] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-13 20:51:26.895] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-13 20:51:30.263] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 32
[2023-05-13 20:51:30.263] [info] input parameter: stop_time 49000s
159585 entries created
3000 entries inserted, progress 1.87988%, batch time 2.26252s, passed time 2.26252s, predicted finish time 120.315s
6000 entries inserted, progress 3.75975%, batch time 3.65317s, passed time 5.91569s, predicted finish time 157.316s
9000 entries inserted, progress 5.63963%, batch time 4.05211s, passed time 9.9678s, predicted finish time 176.726s
12000 entries inserted, progress 7.5195%, batch time 4.72394s, passed time 14.6917s, predicted finish time 195.366s
15000 entries inserted, progress 9.39938%, batch time 5.35807s, passed time 20.0498s, predicted finish time 213.296s
18000 entries inserted, progress 11.2793%, batch time 6.28437s, passed time 26.3342s, predicted finish time 233.461s
21000 entries inserted, progress 13.1591%, batch time 6.30504s, passed time 32.6392s, predicted finish time 248.023s
24000 entries inserted, progress 15.039%, batch time 7.87779s, passed time 40.517s, predicted finish time 269.402s
27000 entries inserted, progress 16.9189%, batch time 8.33654s, passed time 48.8535s, predicted finish time 288.741s
30000 entries inserted, progress 18.7988%, batch time 8.8501s, passed time 57.7037s, predicted finish time 306.944s
33000 entries inserted, progress 20.6786%, batch time 7.95975s, passed time 65.6634s, predicted finish time 317.533s
36000 entries inserted, progress 22.5585%, batch time 9.02152s, passed time 74.6849s, predicted finish time 331.063s
39000 entries inserted, progress 24.4384%, batch time 9.86695s, passed time 84.5519s, predicted finish time 345.971s
42000 entries inserted, progress 26.3183%, batch time 11.5177s, passed time 96.0696s, predicted finish time 365.021s
45000 entries inserted, progress 28.1981%, batch time 10.7135s, passed time 106.783s, predicted finish time 378.68s
48000 entries inserted, progress 30.078%, batch time 11.2827s, passed time 118.066s, predicted finish time 392.524s
51000 entries inserted, progress 31.9579%, batch time 12.4746s, passed time 130.54s, predicted finish time 408.468s
54000 entries inserted, progress 33.8378%, batch time 12.8566s, passed time 143.397s, predicted finish time 423.77s
57000 entries inserted, progress 35.7176%, batch time 14.0551s, passed time 157.452s, predicted finish time 440.817s
60000 entries inserted, progress 37.5975%, batch time 13.184s, passed time 170.636s, predicted finish time 453.842s
63000 entries inserted, progress 39.4774%, batch time 13.0751s, passed time 183.711s, predicted finish time 465.351s
66000 entries inserted, progress 41.3573%, batch time 13.9815s, passed time 197.693s, predicted finish time 478.005s
69000 entries inserted, progress 43.2371%, batch time 14.2057s, passed time 211.898s, predicted finish time 490.077s
72000 entries inserted, progress 45.117%, batch time 14.4969s, passed time 226.395s, predicted finish time 501.789s
75000 entries inserted, progress 46.9969%, batch time 15.4142s, passed time 241.81s, predicted finish time 514.516s
78000 entries inserted, progress 48.8768%, batch time 18.4394s, passed time 260.249s, predicted finish time 532.452s
81000 entries inserted, progress 50.7567%, batch time 19.3112s, passed time 279.56s, predicted finish time 550.778s
84000 entries inserted, progress 52.6365%, batch time 19.5906s, passed time 299.151s, predicted finish time 568.326s
87000 entries inserted, progress 54.5164%, batch time 20.7925s, passed time 319.943s, predicted finish time 586.868s
90000 entries inserted, progress 56.3963%, batch time 21.4228s, passed time 341.366s, predicted finish time 605.292s
93000 entries inserted, progress 58.2762%, batch time 22.3577s, passed time 363.724s, predicted finish time 624.132s
96000 entries inserted, progress 60.156%, batch time 22.2162s, passed time 385.94s, predicted finish time 641.558s
99000 entries inserted, progress 62.0359%, batch time 23.6421s, passed time 409.582s, predicted finish time 660.227s
102000 entries inserted, progress 63.9158%, batch time 20.76s, passed time 430.342s, predicted finish time 673.289s
105000 entries inserted, progress 65.7957%, batch time 20.0675s, passed time 450.41s, predicted finish time 684.552s
108000 entries inserted, progress 67.6755%, batch time 21.5108s, passed time 471.92s, predicted finish time 697.322s
111000 entries inserted, progress 69.5554%, batch time 21.9898s, passed time 493.91s, predicted finish time 710.09s
114000 entries inserted, progress 71.4353%, batch time 23.0396s, passed time 516.95s, predicted finish time 723.655s
117000 entries inserted, progress 73.3152%, batch time 22.4103s, passed time 539.36s, predicted finish time 735.667s
120000 entries inserted, progress 75.195%, batch time 22.5087s, passed time 561.869s, predicted finish time 747.209s
123000 entries inserted, progress 77.0749%, batch time 21.5673s, passed time 583.436s, predicted finish time 756.967s
126000 entries inserted, progress 78.9548%, batch time 20.8784s, passed time 604.315s, predicted finish time 765.387s
129000 entries inserted, progress 80.8347%, batch time 23.4175s, passed time 627.732s, predicted finish time 776.557s
132000 entries inserted, progress 82.7145%, batch time 22.7749s, passed time 650.507s, predicted finish time 786.442s
135000 entries inserted, progress 84.5944%, batch time 24.0581s, passed time 674.565s, predicted finish time 797.405s
138000 entries inserted, progress 86.4743%, batch time 23.8517s, passed time 698.417s, predicted finish time 807.652s
141000 entries inserted, progress 88.3542%, batch time 23.3157s, passed time 721.732s, predicted finish time 816.857s
144000 entries inserted, progress 90.234%, batch time 24.2104s, passed time 745.943s, predicted finish time 826.67s
147000 entries inserted, progress 92.1139%, batch time 25.2749s, passed time 771.218s, predicted finish time 837.238s
150000 entries inserted, progress 93.9938%, batch time 24.678s, passed time 795.896s, predicted finish time 846.748s
153000 entries inserted, progress 95.8737%, batch time 23.5393s, passed time 819.435s, predicted finish time 854.697s
156000 entries inserted, progress 97.7535%, batch time 23.7647s, passed time 843.2s, predicted finish time 862.572s
159000 entries inserted, progress 99.6334%, batch time 23.3972s, passed time 866.597s, predicted finish time 869.78s
159585 entries created
[2023-05-13 21:06:03.713] [info] finish preprocess and save the index
[2023-05-13 22:58:42.100] [info] finish queryID 628, single_query_retrieval_time 6758.39s, ip_cost 5113160725, n_proc_query 1.00
[2023-05-14 09:08:00.814] [info] finish queryID 756, single_query_retrieval_time 5987.78s, ip_cost 4171906703, n_proc_query 5.00
[2023-05-14 09:30:32.357] [info] finish queryID 2, single_query_retrieval_time 15062.58s, ip_cost 12438184418, n_proc_query 3.00
[2023-05-14 09:44:12.571] [info] finish queryID 380, single_query_retrieval_time 6958.79s, ip_cost 1523765398, n_proc_query 3.00
[2023-05-14 09:44:39.431] [info] finish queryID 570, single_query_retrieval_time 7860.77s, ip_cost 2293199960, n_proc_query 5.00
[2023-05-14 09:58:20.857] [info] finish queryID 67, single_query_retrieval_time 4981.57s, ip_cost 1677967743, n_proc_query 5.00
[2023-05-14 10:03:04.520] [info] finish queryID 632, single_query_retrieval_time 11208.98s, ip_cost 5829525737, n_proc_query 5.00
[2023-05-14 10:04:00.067] [info] finish queryID 190, single_query_retrieval_time 36038.92s, ip_cost 46687375024, n_proc_query 2.00
[2023-05-14 10:24:08.727] [info] finish queryID 508, single_query_retrieval_time 6833.77s, ip_cost 994955456, n_proc_query 5.00
[2023-05-14 11:26:04.014] [info] finish queryID 757, single_query_retrieval_time 8283.20s, ip_cost 6346092939, n_proc_query 6.00
[2023-05-14 11:26:04.014] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 11:28:40.525] [info] finish queryID 444, single_query_retrieval_time 8564.16s, ip_cost 7955522913, n_proc_query 4.00
[2023-05-14 11:28:40.525] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 11:58:48.028] [info] finish queryID 318, single_query_retrieval_time 10466.96s, ip_cost 9007030771, n_proc_query 4.00
[2023-05-14 11:58:48.028] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 12:02:03.046] [info] finish queryID 818, single_query_retrieval_time 11556.83s, ip_cost 5912981553, n_proc_query 5.00
[2023-05-14 12:02:03.046] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 12:19:22.376] [info] finish queryID 381, single_query_retrieval_time 9309.81s, ip_cost 9245369171, n_proc_query 4.00
[2023-05-14 12:19:22.376] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 12:21:20.259] [info] finish queryID 941, single_query_retrieval_time 24417.63s, ip_cost 27511687103, n_proc_query 4.00
[2023-05-14 12:21:20.259] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 12:43:19.091] [info] finish queryID 3, single_query_retrieval_time 11566.73s, ip_cost 7217449460, n_proc_query 4.00
[2023-05-14 12:43:19.091] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 12:48:36.245] [info] finish queryID 509, single_query_retrieval_time 8667.52s, ip_cost 3156498640, n_proc_query 6.00
[2023-05-14 12:48:36.246] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 13:36:03.351] [info] finish queryID 633, single_query_retrieval_time 12778.83s, ip_cost 11130808606, n_proc_query 6.00
[2023-05-14 13:36:03.351] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 14:07:41.430] [info] finish queryID 255, single_query_retrieval_time 29741.90s, ip_cost 39815239668, n_proc_query 4.00
[2023-05-14 14:07:41.430] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 14:23:54.925] [info] finish queryID 571, single_query_retrieval_time 16755.49s, ip_cost 18744574308, n_proc_query 6.00
[2023-05-14 14:23:54.925] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 16:03:12.470] [info] total retrieval time larger than stop time inside Rtree method, retrieval exit
[2023-05-14 16:03:12.471] [info] finish queryID 127, single_query_retrieval_time 49000.00s, ip_cost 86328709338, n_proc_query 1.74
[2023-05-14 16:03:12.471] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 16:35:18.128] [info] finish queryID 692, single_query_retrieval_time 37662.21s, ip_cost 61509263952, n_proc_query 3.00
[2023-05-14 16:35:18.128] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 16:36:19.749] [info] finish queryID 68, single_query_retrieval_time 23878.89s, ip_cost 32082778404, n_proc_query 6.00
[2023-05-14 16:36:19.749] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 16:42:17.680] [info] finish queryID 191, single_query_retrieval_time 23897.61s, ip_cost 36077853843, n_proc_query 3.00
[2023-05-14 16:42:17.680] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 21:40:43.023] [info] total retrieval time larger than stop time inside Rtree method, retrieval exit
[2023-05-14 21:40:43.023] [info] finish queryID 877, single_query_retrieval_time 49000.01s, ip_cost 108973199810, n_proc_query 1.72
[2023-05-14 21:40:43.023] [info] total retrieval time larger than stop time, retrieval exit
[2023-05-14 21:40:43.023] [info] finish top-100
[2023-05-14 21:40:43.023] [info] top100 retrieval time: total 88479.310s, n_proc_query 68.457
	total single query retrieval time 983804.928s, total ip cost 966041931873
	maximum ip cost 103666725931.59, proportion 9.319
[2023-05-14 21:40:43.023] [info] build index time: total 873.449418646s
top100 retrieval time: total 88479.310s, n_proc_query 68.457
	total single query retrieval time 983804.928s, total ip cost 966041931873
	maximum ip cost 103666725931.59, proportion 9.319
[2023-05-14 21:40:43.598] [info] Retrieval method_name Rtree, dataset_name yelp-32d, topk 100
[2023-05-14 21:40:43.598] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-14 21:40:43.598] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-14 21:40:46.963] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 32
[2023-05-14 21:40:46.963] [info] input parameter: stop_time 49000s
159585 entries created
3000 entries inserted, progress 1.87988%, batch time 2.2872s, passed time 2.2872s, predicted finish time 121.627s
6000 entries inserted, progress 3.75975%, batch time 3.67675s, passed time 5.96396s, predicted finish time 158.6s
9000 entries inserted, progress 5.63963%, batch time 4.06594s, passed time 10.0299s, predicted finish time 177.827s
12000 entries inserted, progress 7.5195%, batch time 4.72479s, passed time 14.7547s, predicted finish time 196.202s
15000 entries inserted, progress 9.39938%, batch time 5.36198s, passed time 20.1167s, predicted finish time 214.007s
18000 entries inserted, progress 11.2793%, batch time 6.26687s, passed time 26.3835s, predicted finish time 233.899s
21000 entries inserted, progress 13.1591%, batch time 6.29006s, passed time 32.6736s, predicted finish time 248.284s
24000 entries inserted, progress 15.039%, batch time 7.84874s, passed time 40.5223s, predicted finish time 269.437s
27000 entries inserted, progress 16.9189%, batch time 8.30123s, passed time 48.8236s, predicted finish time 288.564s
30000 entries inserted, progress 18.7988%, batch time 8.80631s, passed time 57.6299s, predicted finish time 306.552s
33000 entries inserted, progress 20.6786%, batch time 7.9321s, passed time 65.562s, predicted finish time 317.042s
36000 entries inserted, progress 22.5585%, batch time 8.98735s, passed time 74.5493s, predicted finish time 330.462s
39000 entries inserted, progress 24.4384%, batch time 9.81473s, passed time 84.364s, predicted finish time 345.202s
42000 entries inserted, progress 26.3183%, batch time 11.458s, passed time 95.822s, predicted finish time 364.081s
45000 entries inserted, progress 28.1981%, batch time 10.6584s, passed time 106.48s, predicted finish time 377.607s
48000 entries inserted, progress 30.078%, batch time 11.218s, passed time 117.698s, predicted finish time 391.302s
51000 entries inserted, progress 31.9579%, batch time 12.4129s, passed time 130.111s, predicted finish time 407.126s
54000 entries inserted, progress 33.8378%, batch time 12.776s, passed time 142.887s, predicted finish time 422.264s
57000 entries inserted, progress 35.7176%, batch time 13.9728s, passed time 156.86s, predicted finish time 439.16s
60000 entries inserted, progress 37.5975%, batch time 13.1043s, passed time 169.965s, predicted finish time 452.056s
63000 entries inserted, progress 39.4774%, batch time 12.9771s, passed time 182.942s, predicted finish time 463.401s
66000 entries inserted, progress 41.3573%, batch time 13.89s, passed time 196.832s, predicted finish time 475.922s
69000 entries inserted, progress 43.2371%, batch time 14.1076s, passed time 210.939s, predicted finish time 487.859s
72000 entries inserted, progress 45.117%, batch time 14.3957s, passed time 225.335s, predicted finish time 499.439s
75000 entries inserted, progress 46.9969%, batch time 15.3062s, passed time 240.641s, predicted finish time 512.029s
78000 entries inserted, progress 48.8768%, batch time 18.2984s, passed time 258.94s, predicted finish time 529.774s
81000 entries inserted, progress 50.7567%, batch time 19.1556s, passed time 278.095s, predicted finish time 547.892s
84000 entries inserted, progress 52.6365%, batch time 19.4638s, passed time 297.559s, predicted finish time 565.302s
87000 entries inserted, progress 54.5164%, batch time 20.6595s, passed time 318.218s, predicted finish time 583.705s
90000 entries inserted, progress 56.3963%, batch time 21.2538s, passed time 339.472s, predicted finish time 601.934s
93000 entries inserted, progress 58.2762%, batch time 22.2282s, passed time 361.7s, predicted finish time 620.66s
96000 entries inserted, progress 60.156%, batch time 22.0558s, passed time 383.756s, predicted finish time 637.928s
99000 entries inserted, progress 62.0359%, batch time 23.4741s, passed time 407.23s, predicted finish time 656.436s
102000 entries inserted, progress 63.9158%, batch time 20.5982s, passed time 427.829s, predicted finish time 669.356s
105000 entries inserted, progress 65.7957%, batch time 19.9705s, passed time 447.799s, predicted finish time 680.584s
108000 entries inserted, progress 67.6755%, batch time 21.4068s, passed time 469.206s, predicted finish time 693.31s
111000 entries inserted, progress 69.5554%, batch time 21.8504s, passed time 491.056s, predicted finish time 705.986s
114000 entries inserted, progress 71.4353%, batch time 22.8951s, passed time 513.951s, predicted finish time 719.458s
117000 entries inserted, progress 73.3152%, batch time 22.2534s, passed time 536.205s, predicted finish time 731.363s
120000 entries inserted, progress 75.195%, batch time 22.3244s, passed time 558.529s, predicted finish time 742.768s
123000 entries inserted, progress 77.0749%, batch time 21.3527s, passed time 579.882s, predicted finish time 752.355s
126000 entries inserted, progress 78.9548%, batch time 20.6878s, passed time 600.57s, predicted finish time 760.644s
129000 entries inserted, progress 80.8347%, batch time 23.1898s, passed time 623.759s, predicted finish time 771.642s
132000 entries inserted, progress 82.7145%, batch time 22.5843s, passed time 646.344s, predicted finish time 781.409s
135000 entries inserted, progress 84.5944%, batch time 23.863s, passed time 670.207s, predicted finish time 792.253s
138000 entries inserted, progress 86.4743%, batch time 23.727s, passed time 693.934s, predicted finish time 802.468s
141000 entries inserted, progress 88.3542%, batch time 23.1717s, passed time 717.105s, predicted finish time 811.62s
144000 entries inserted, progress 90.234%, batch time 24.0311s, passed time 741.137s, predicted finish time 821.343s
147000 entries inserted, progress 92.1139%, batch time 25.1168s, passed time 766.253s, predicted finish time 831.848s
